阿里云 alicloud.png	
金山云 kingsoftcloud.png	
腾讯云 tencentcloud.png	
华为云 huaweicloud.png	
alkira alkira.png	
aws aws.png	
azure azure.png	
citrix citrixadc.png	
consul consul.svg	
DataDog	datadog.png	
elastic	elastic.png	
F5Networks f5-networks.png	
gitlab gitlab.png	
google google.svg	
googleworkspace	googleworkspace.png	
jfrog-artifactory jfrog-artifactory.png	
kubernetes kubernetes.svg	
newrelic newrelic.png	
nomad nomad.svg	
oracle oracle.svg	
rancher	rancher.png	
terraform terraform.svg	
ucloud ucloud.png	
UpCloud	upcloud.png	
vault vault.svg	
Vmware vmware.png
WindowsServer windows-server.png
Jenkins jenkins.png
Cisco cisco.png
Docker docker.png
